FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,ME291ZM/A,Connectivity Accessories,95.0,21.0,8.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MG2E3B/A,Series 6,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGN03B/A,Connectivity Accessories,73.0,14.0,8.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGN43B/A,Connectivity Accessories,95.0,22.0,11.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGN93B/A,MacBook Air,3399.0,313.0,56.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGNR3B/A,Mac Mini,20.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHNG3B/A,iPad Pro,105.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGNT3B/A,Mac Mini,4.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGPH3B/A,iMac,474.0,31.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGYN3ZM/A,AirPods Max,1611.0,8.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHCA3LL/A,iPhone 11,1218.0,178.0,68.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHDA3B/A,iPhone 11,2571.0,323.0,103.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHJF3B/A,Connectivity Accessories,1669.0,551.0,292.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHK83ZM/A,iPhone Accessories,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHKF3ZM/A,iPhone Accessories,33.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHKM3ZM/A,iPhone Accessories,9.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHKX3ZM/A,iPhone Accessories,8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHL73ZM/A,iPhone Accessories,265.0,22.0,9.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHLD3ZM/A,iPhone Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHLL3ZM/A,iPhone Accessories,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHLM3ZM/A,iPhone Accessories,73.0,7.0,4.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MGPD3B/A,iMac,592.0,38.0,8.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJQJ3B/A,iPad Accessories,155.0,20.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,M09H3B/A,Series 6,35.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJV83B/A,iMac,1171.0,102.0,20.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN73B/A,Series 7,17.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN83B/A,Series 7,15.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN93B/A,Series 7,8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQ33B/A,Watch SE (1st Gen),12.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQ43B/A,Watch SE (1st Gen),9.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQ73B/A,Watch SE (1st Gen),8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQ83B/A,Watch SE (1st Gen),4.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQV3B/A,Watch SE (1st Gen),2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKQW3B/A,Watch SE (1st Gen),5.0,0.0,0.0,2023-04-01,2023-04-08
